"videoId","title","filename","publishedAt","bang_count"
"HOQJKePhfB4","[Locked In] Day 32 | Road to While Guthix Sleeps and First Croesus Today! | The RS Guy VODS","[Locked In] Day 32  Road to While Guthix Sleeps and First Croesus Today!  The RS Guy VODS.txt","2024-12-04T17:11:02Z",26
"VniV3K13e8I","[Locked In] Day 30 | Vorago done, Failed Croesus, New Tank Gear Changes! | The RS Guy VODS","[Locked In] Day 30  Vorago done, Failed Croesus, New Tank Gear Changes!  The RS Guy VODS.txt","2024-12-03T18:00:19Z",19
"LIU5k685N-o","[Locked In] Day 28 | First Vorago Kill today! Araxxor and more quests | The RS Guy VODS","[Locked In] Day 28  First Vorago Kill today! Araxxor and more quests  The RS Guy VODS.txt","2024-12-02T16:58:50Z",24
"REdqFD2MUQo","[Locked In] Day 26 | It's 2/3, so it's Araxxor time! | The RS Guy VODS","[Locked In] Day 26  It's 23, so it's Araxxor time!  The RS Guy VODS.txt","2024-12-01T23:49:38Z",3
"FQ8pTU6tTQc","[Locked In] Day 24 | The Final Day of the Marathon! Zamorak, Kerapac, Araxxor | The RS Guy VODS","[Locked In] Day 24  The Final Day of the Marathon! Zamorak, Kerapac, Araxxor  The RS Guy VODS.txt","2024-11-30T07:59:38Z",63
"safIc7jD9u4","[Locked In] Day 23 | Getting PvM Ready + Zamorak Dungeon Run Today! | The RS Guy VODS","[Locked In] Day 23  Getting PvM Ready + Zamorak Dungeon Run Today!  The RS Guy VODS.txt","2024-11-29T16:10:41Z",25
"glbXnWKNJyo","[Locked In] Day 22 | Beastmaster Blasted Us :( | The RS Guy VODS","[Locked In] Day 22  Beastmaster Blasted Us (  The RS Guy VODS.txt","2024-11-28T18:34:19Z",49
"0jQhlshk4jk","[Locked In] Day 21 | Today we Raid! | Shadow's Grace and Ancient Summoning | The RS Guy VODS","[Locked In] Day 21  Today we Raid!  Shadow's Grace and Ancient Summoning  The RS Guy VODS.txt","2024-11-28T03:18:46Z",26
"nCyL8f5xIfI","[Locked In] Day 20 | Elder Wand Done! We are Ready for Raids! |The RS Guy VODS","[Locked In] Day 20  Elder Wand Done! We are Ready for Raids! The RS Guy VODS.txt","2024-11-26T19:41:33Z",27
"p6T_WL1DtZk","[Locked In] Day 19 | 444 KC at Helwyr, it's wand time! New Vid Out Now | The RS Guy VODS","[Locked In] Day 19  444 KC at Helwyr, it's wand time! New Vid Out Now  The RS Guy VODS.txt","2024-11-25T15:54:04Z",59
"-p5-zBPEPYU","[Locked In] Day 18 | 350+ KC at Helwyr, it's wand time! New Vid Out Now | The RS Guy VODS","[Locked In] Day 18  350+ KC at Helwyr, it's wand time! New Vid Out Now  The RS Guy VODS.txt","2024-11-24T22:17:40Z",50
"w_u4bE8bzFA","[Locked In] Day 17 | Unlocking an insane 25k DPM Familiar + Helwyr time! | The RS Guy VODS","[Locked In] Day 17  Unlocking an insane 25k DPM Familiar + Helwyr time!  The RS Guy VODS.txt","2024-11-23T13:26:28Z",79
"NUukR1sLt8Y","[Locked In] Day 16 | Helwyr, Kerapac and Summoning rush! | The RS Guy VODS","[Locked In] Day 16  Helwyr, Kerapac and Summoning rush!  The RS Guy VODS.txt","2024-11-22T22:17:27Z",31
"pozOhvfFurY","[Locked In] Day 15 | Unlocking Dive today! Helwyr, Kerapac and Araxxor! | The RS Guy VODS","[Locked In] Day 15  Unlocking Dive today! Helwyr, Kerapac and Araxxor!  The RS Guy VODS.txt","2024-11-21T15:26:07Z",68
"qny9N9slfBg","[Locked In] Day 14 | Helwyr and Araxxor! | The RS Guy VODS","[Locked In] Day 14  Helwyr and Araxxor!  The RS Guy VODS.txt","2024-11-20T20:53:11Z",40
"CtXB1NUUUBU","[Locked In] Day 13 | It's PvM Time! Helwyr for Elder Wand and Orb! | The RS Guy VODS","[Locked In] Day 13  It's PvM Time! Helwyr for Elder Wand and Orb!  The RS Guy VODS.txt","2024-11-19T17:56:29Z",30
"npJh3maWlCw","[Locked In] Day 12 | Trying Zamorak Today! (bad idea), 1500 Total Today! | The RS Guy VODS","[Locked In] Day 12  Trying Zamorak Today! (bad idea), 1500 Total Today!  The RS Guy VODS.txt","2024-11-18T18:43:27Z",10
"hEswRjuK5q8","[Locked In] Day 11: Cruising to 200 QP + Working to City of Senntisten | The RS Guy VODS","[Locked In] Day 11 Cruising to 200 QP + Working to City of Senntisten  The RS Guy VODS.txt","2024-11-17T21:31:43Z",42
"1oiDmsbISM0","[Locked In] Day 10: Fight Kiln Completed! quests and first Kerapac today!  | The RS Guy VODS","[Locked In] Day 10 Fight Kiln Completed! quests and first Kerapac today!   The RS Guy VODS.txt","2024-11-16T04:41:13Z",16
"WgHLs40XoBo","[Locked In] Day 9 | FULL Subjugation?! Completing the fight kiln TODAY! | The RS Guy VODS","[Locked In] Day 9  FULL Subjugation! Completing the fight kiln TODAY!  The RS Guy VODS.txt","2024-11-14T18:34:47Z",16
"rL5KaeeCb3Q","[Locked In] Day 8 | It's God Wars Time! Going for some K'ril drops! | The RS Guy VODS","[Locked In] Day 8  It's God Wars Time! Going for some K'ril drops!  The RS Guy VODS.txt","2024-11-13T19:36:54Z",5
"K3HDyPEOGnA","[Locked In]  Day 7 | Welcome to the God Wars Dungeon | The RS Guy VODS","[Locked In]  Day 7  Welcome to the God Wars Dungeon  The RS Guy VODS.txt","2024-11-13T04:02:04Z",42
"4lGd_YbNLtE","[Locked In] Day 6 | Into the Fight Kiln | The RS Guy VODS","[Locked In] Day 6  Into the Fight Kiln  The RS Guy VODS.txt","2024-11-12T00:48:06Z",11
"8QC7AqcuU5E","[Locked In] Day 5 | Desert Treasure Today and T75 Weapons Unlocked! | The RS Guy VODS","[Locked In] Day 5  Desert Treasure Today and T75 Weapons Unlocked!  The RS Guy VODS.txt","2024-11-10T16:10:38Z",19
"zAGpyXFJQPk","[Locked In] Day 4 | Going for 150 QP and a t75 Vanquish! | The RS Guy VODS","[Locked In] Day 4  Going for 150 QP and a t75 Vanquish!  The RS Guy VODS.txt","2024-11-09T01:02:11Z",41
