"videoId","title","filename","publishedAt","bang_count"
"VrR8rOKn_yU","Road to Rebuild Episode 3 | Runescape Money Making","Road to Rebuild Episode 3  Runescape Money Making.txt","2015-06-15T04:13:49Z",0
"U1hDkvCVRUk","Road to Rebuild Episode Two | Runescape Money Making","Road to Rebuild Episode Two  Runescape Money Making.txt","2015-05-13T03:57:03Z",0
"qL83TPjrONY","Road to Rebuild Episode 1 | Runescape Money Making","Road to Rebuild Episode 1  Runescape Money Making.txt","2015-04-15T03:42:29Z",0
"_pKR4BCgzDU","Road to Queen Black Dragonling Episode 10! : ""Personal Best!!""","Road to Queen Black Dragonling Episode 10!  Personal Best!!.txt","2015-04-06T05:11:27Z",0
"Xcxdi6vFnM8","Time to rebuild..","Time to rebuild...txt","2015-03-28T17:13:22Z",0
"LPCspnq8VN4","Gettting Lured for my Noxious Bow","Gettting Lured for my Noxious Bow.txt","2015-03-28T06:03:36Z",0
"LC1NJCheyN4","Road to Queen Black Dragonling Episode 8! : ""Death by Grotworm!""","Road to Queen Black Dragonling Episode 8!  Death by Grotworm!.txt","2015-03-23T04:18:43Z",0
"pPfEMLlt8QA","Low Level Zamorak (K'ril Tsutsaroth) Solo Guide! | All the Strats | Best Methods | Runescape 2015","Low Level Zamorak (K'ril Tsutsaroth) Solo Guide!  All the Strats  Best Methods  Runescape 2015.txt","2015-03-19T13:38:27Z",0
"Yb4nVtGRaxk","Lava Strykewyrms Slayer Guide | All Mechanics, Strategies, and Info! | Runescape","Lava Strykewyrms Slayer Guide  All Mechanics, Strategies, and Info!  Runescape.txt","2015-03-11T14:55:17Z",0
"2ArL4OXJBeI","Strykebow Pking!! | The Best PVP weapon in RS History?","Strykebow Pking!!  The Best PVP weapon in RS History.txt","2015-03-02T03:51:05Z",0
"kGQQdMoQvsg","Road to Queen Black Dragonling Episode 4! : ""DKITES ON DKITES ON DKITES..""","Road to Queen Black Dragonling Episode 4!  DKITES ON DKITES ON DKITES...txt","2015-02-23T05:38:03Z",0
"k4juHYHZ2J8","Skilling to the MAX Episode 7! ACCIDENTAL QUADRUPLE 99?","Skilling to the MAX Episode 7! ACCIDENTAL QUADRUPLE 99.txt","2015-02-18T02:10:59Z",0
"WYa3KlrMHzE","Loot from 100 Lava Strykewyrms! | New level 94 Slayer Creature!","Loot from 100 Lava Strykewyrms!  New level 94 Slayer Creature!.txt","2015-02-16T21:30:51Z",0
"vvHF2TvioWk","High Level Bandos Solo Guide For Legacy and EOC | Runescape 2015","High Level Bandos Solo Guide For Legacy and EOC  Runescape 2015.txt","2015-02-13T19:28:07Z",2
